date,chunk,ticker,norm_score,raw_score,percentile,conviction,layer,layer_name,industry,momentum_pct,rsi_euphoria,borrow_fee,flow,price,data_source
2026-05-31,1,AI,10.00,6.71,96.4,B,5,Models,Software - Infrastructure,-63.1,6.1,35.8,elevated_volume,10.77,simulated
2026-05-31,1,ALIT,10.00,5.97,96.4,B,5,Models,Software - Application,-83.8,5.1,9.5,neutral,0.94,simulated
2026-05-31,1,AMST,10.00,6.61,96.4,B,5,Models,Software - Application,-63.6,5.9,3.3,low_volume,1.41,simulated
2026-05-31,1,ANY,10.00,6.10,96.4,B,8,Distrib,Capital Markets,-81.9,5.2,3.0,low_volume,1.90,simulated
2026-05-31,1,ATO,10.00,6.52,96.4,B,1,Energy,Utilities - Regulated Gas,-11.5,2.8,9.7,dark_pool_buying,169.13,simulated
2026-05-31,1,BMBL,10.00,6.03,96.4,B,5,Models,Internet Content & Information,-63.0,3.0,12.8,low_volume,3.17,simulated
2026-05-31,1,BTBT,10.00,6.03,96.4,B,3,Infra,Capital Markets,-52.1,5.7,11.1,neutral,2.02,simulated
2026-05-31,1,BTCS,10.00,6.65,96.4,B,8,Distrib,Capital Markets,-75.8,1.8,9.3,low_volume,1.57,simulated
2026-05-31,1,BTM,10.00,6.19,96.4,B,8,Distrib,Capital Markets,-99.6,0.8,2.9,low_volume,0.49,simulated
2026-05-31,1,CAN,10.00,6.20,96.4,B,3,Infra,Computer Hardware,-79.9,3.0,16.6,neutral,0.41,simulated
2026-05-31,1,DAVA,10.00,6.58,96.4,B,4,Data,Software - Infrastructure,-81.0,2.6,17.2,neutral,3.22,simulated
2026-05-31,1,DTSS,10.00,5.98,96.4,B,4,Data,Software - Infrastructure,-64.4,3.8,1.0,neutral,0.84,simulated
2026-05-31,1,FTI,10.00,6.01,96.4,B,1,Energy,Oil & Gas Equipment & Services,-11.1,4.5,7.7,dark_pool_buying,68.42,simulated
2026-05-31,1,HTCR,10.00,6.23,96.4,B,5,Models,Software - Application,-83.5,6.3,2.5,elevated_volume,3.62,simulated
2026-05-31,1,HUBS,10.00,6.12,96.4,B,5,Models,Software - Application,-63.8,6.3,11.4,neutral,220.63,simulated
2026-05-31,1,JCAP,10.00,6.21,96.4,B,3,Infra,Credit Services,-25.4,1.2,9.1,neutral,16.99,simulated
2026-05-31,1,GAUZ,9.90,5.95,96.3,B,2,Chips,Electronic Components,-92.7,6.0,1.0,low_volume,0.70,simulated
2026-05-31,1,BTDR,9.84,5.94,96.1,B,3,Infra,Software - Application,-32.5,6.8,29.5,elevated_volume,17.49,simulated
2026-05-31,1,AIXC,9.65,5.91,95.8,B,4,Data,Software - Infrastructure,-78.7,4.5,3.7,neutral,1.28,simulated
2026-05-31,1,AVA,9.59,5.90,95.3,B,1,Energy,Utilities - Diversified,-1.4,6.3,15.2,elevated_volume,41.47,simulated
2026-05-31,1,CXM,9.59,5.90,95.3,B,5,Models,Software - Application,-40.3,6.0,16.4,low_volume,5.58,simulated
2026-05-31,1,ES,9.59,5.90,95.3,B,1,Energy,Utilities - Regulated Electric,-8.4,6.2,10.9,elevated_volume,68.27,simulated
2026-05-31,1,FTS,9.59,5.90,95.3,B,1,Energy,Utilities - Regulated Electric,-4.7,4.7,50.0,neutral,55.33,simulated
2026-05-31,1,ILLR,9.47,5.88,95.0,B,5,Models,Software - Application,-84.1,4.5,1.7,low_volume,0.24,simulated
2026-05-31,1,EVR,9.41,5.87,94.9,B,8,Distrib,Capital Markets,-10.6,5.0,5.4,neutral,340.86,simulated
2026-05-31,1,CAMT,9.29,5.85,94.7,B,2,Chips,Semiconductor Equipment & Materials,-17.3,3.3,18.9,neutral,171.66,simulated
2026-05-31,1,CTSH,9.22,5.84,94.2,B,3,Infra,Information Technology Services,-34.9,6.2,19.9,neutral,55.76,simulated
2026-05-31,1,FICO,9.16,5.83,94.0,B,5,Models,Software - Application,-35.1,6.8,14.3,neutral,1250.59,simulated
2026-05-31,1,INUV,9.16,5.83,94.0,B,5,Models,Software - Application,-72.8,3.9,6.6,neutral,1.60,simulated
2026-05-31,1,APLD,9.10,5.82,93.8,B,3,Infra,Information Technology Services,-4.8,5.8,17.3,neutral,47.28,simulated
2026-05-31,1,CNCK,9.10,5.82,93.8,B,8,Distrib,Capital Markets,-76.4,5.1,2.4,low_volume,1.86,simulated
2026-05-31,1,D,9.04,5.81,93.4,B,1,Energy,Utilities - Regulated Electric,-1.0,7.5,16.0,elevated_volume,66.94,simulated
2026-05-31,1,DLR,9.04,5.81,93.4,B,3,Infra,REIT - Specialty,-6.8,4.0,n/a,neutral,190.00,simulated
2026-05-31,1,ICE,9.04,5.81,93.4,B,8,Distrib,Financial Data & Stock Exchanges,-20.8,3.0,7.2,neutral,147.85,simulated
