date,chunk,ticker,norm_score,raw_score,percentile,conviction,layer,layer_name,industry,momentum_pct,rsi_euphoria,borrow_fee,flow,price,data_source,market_cap_b,pe_ttm,forward_pe,eps_ttm,dividend_yield_pct,week52_high,week52_low,pct_from_52w_high,pct_from_52w_low,avg_vol_30d_m,rel_volume,short_float_pct,short_ratio,analyst_target,upside_pct,revenue_ttm_b,gross_margin_pct,operating_margin_pct,beta,description
2026-07-16,2,MCRP,10.00,6.03,96.2,A,3,Infra,Computer Hardware,-71.6,3.3,1.0,low_volume,1.25,polygon,0.04,n/a,-4.2,-0.21,n/a,4.62,0.69,-72.9,81.7,0.49,0.17,1.6,0.2,8.0,540.1,0.0,14.7,-19873.8,n/a,"Micropolis AI Robotics, together with its subsidiary, Micropolis Digital Development FZ-LLC, engages in the development …"
2026-07-16,2,NA,10.00,6.02,96.2,A,2,Chips,Semiconductors,-77.6,5.9,18.9,low_volume,2.00,polygon,0.05,1.9,n/a,1.07,n/a,9.26,1.58,-78.5,26.3,0.16,0.34,7.2,6.7,n/a,n/a,0.03,-26.5,-195.0,3.42,Nano Labs Ltd engages in the design and sale of fabless integrated circuit and product solutions in the People's Republi…
2026-07-16,2,OKLO,10.00,6.05,96.2,A,1,Energy,Utilities - Independent Power Producers,-73.8,2.8,9.6,low_volume,45.69,polygon,7.95,n/a,-54.4,-0.83,n/a,193.84,44.16,-76.4,3.5,13.5,0.68,16.0,1.9,86.95,90.3,n/a,n/a,n/a,1.16,Oklo Inc
2026-07-16,2,ORCL,10.00,6.20,96.2,A,4,Data,Software - Infrastructure,-59.2,2.5,4.1,neutral,132.49,polygon,381.63,21.9,12.1,6.04,156.0,345.72,127.6,-61.7,3.8,30.11,1.29,2.4,1.3,251.85,90.1,67.36,65.8,36.2,1.71,"Oracle Corporation offers products and services that build, run and support enterprise information technology frameworks…"
2026-07-16,2,PATH,10.00,6.15,96.2,A,5,Models,Software - Infrastructure,-38.1,7.4,17.2,elevated_volume,11.95,finnhub,6.19,19.9,13.2,0.6,n/a,19.84,9.2,-39.8,29.9,47.06,1.59,34.6,2.7,13.25,10.9,1.67,83.0,7.3,0.97,"UiPath, Inc"
2026-07-16,2,PGY,10.00,5.94,96.2,A,4,Data,Software - Infrastructure,-59.0,6.5,10.8,low_volume,17.96,finnhub,1.49,16.3,5.1,1.1,n/a,44.99,10.4,-60.1,72.7,3.96,0.61,15.4,2.5,26.5,47.6,1.33,42.9,25.2,5.34,Pagaya Technologies Ltd
2026-07-16,2,PLUG,10.00,6.48,96.2,A,1,Energy,Electrical Equipment & Parts,-46.6,2.9,22.9,neutral,2.21,finnhub,3.08,n/a,-13.8,-1.35,n/a,4.58,1.39,-51.7,59.0,70.86,0.79,27.5,5.9,3.55,60.5,0.74,-31.2,-63.6,2.17,Plug Power Inc
2026-07-16,2,QUBT,10.00,6.63,96.2,A,5,Models,Computer Hardware,-67.3,3.5,18.2,low_volume,8.04,finnhub,1.81,n/a,-21.2,-0.25,n/a,25.84,6.18,-68.9,30.1,20.68,0.58,31.8,3.5,18.33,128.0,0.0,-15.4,-556.8,3.78,Quantum Computing Inc
2026-07-16,2,MFI,9.69,5.88,95.7,A,5,Models,Software - Application,-81.7,3.2,4.5,low_volume,8.75,polygon,0.44,5.1,-36.2,1.7,n/a,60.73,5.55,-85.6,57.5,0.01,0.37,0.1,1.8,30.0,242.9,0.03,29.6,-108.1,6.95,"mF International Limited, a holding company, engages in the development and provision of financial trading solutions in …"
2026-07-16,2,NVTS,9.69,5.88,95.7,A,2,Chips,Semiconductors,-58.3,2.5,7.6,low_volume,13.27,polygon,3.23,n/a,-95.8,-0.64,n/a,34.17,5.44,-61.2,143.9,33.37,0.48,16.1,1.1,14.46,9.0,0.04,30.1,-317.7,3.81,"Navitas Semiconductor Corporation designs, develops, and markets power semiconductors in the United States, Europe, Chin…"
